# Example epidemic outbreak data for OutbreakLab
# Columns: day,susceptible,infected,recovered
day,susceptible,infected,recovered
0,990,10,0
1,985,13,2
2,978,17,5
3,968,23,9
4,954,30,16
5,937,38,25
6,915,47,38
7,889,57,54
8,857,67,76
9,820,77,103
10,777,86,137
11,728,92,180
12,676,95,229
13,626,93,281
14,580,88,332
15,539,79,382
16,504,70,426
17,474,60,466
18,449,50,501
19,428,41,531
20,411,33,556
21,397,26,577
22,386,20,594
23,378,15,607
24,372,12,616
25,368,9,623
26,366,7,627
27,364,6,630
28,363,5,632
29,362,4,634
30,362,3,635
31,362,2,636
32,362,1,637
33,362,0,638
